quote_date,tube_assembly_id,annual_usage
11/16/1985,TA-19349,550
9/30/1987,TA-11071,0
9/30/1987,TA-11071,0
9/30/1987,TA-11071,0
9/30/1987,TA-11071,0
9/30/1987,TA-11071,0
9/30/1987,TA-11071,0
9/30/1987,TA-11071,0
9/30/1987,TA-11071,0
3/1/1988,TA-21147,0
10/1/1989,TA-19858,536
6/22/1992,TA-19667,371
8/1/1992,TA-18811,27
8/1/1992,TA-21173,244
10/6/1992,TA-00059,0
10/6/1992,TA-00059,0
10/6/1992,TA-00059,0
10/6/1992,TA-00059,0
10/6/1992,TA-00059,0
10/6/1992,TA-00059,0
10/6/1992,TA-00059,0
10/6/1992,TA-00059,0
2/6/1993,TA-18801,1
9/8/1993,TA-20369,0
12/1/1993,TA-19280,0
12/1/1993,TA-19280,0
12/1/1993,TA-19280,0
12/1/1993,TA-19280,0
1/4/1994,TA-00255,20
8/3/1994,TA-00247,9500
8/16/1994,TA-00806,50
9/27/1994,TA-00898,15
12/6/1994,TA-21154,63
1/5/1995,TA-20701,15
3/9/1995,TA-01112,24
4/3/1995,TA-00960,300
4/7/1995,TA-00947,2
4/7/1995,TA-00947,2
4/7/1995,TA-00947,2
4/7/1995,TA-00947,2
4/12/1995,TA-00390,0
4/12/1995,TA-00390,0
4/12/1995,TA-00390,0
4/12/1995,TA-00390,0
4/12/1995,TA-00391,0
4/12/1995,TA-00391,0
4/12/1995,TA-00391,0
4/12/1995,TA-00391,0
6/19/1995,TA-00959,300
7/12/1995,TA-01289,340
8/15/1995,TA-00632,0
8/15/1995,TA-00632,0
8/15/1995,TA-00632,0
8/15/1995,TA-00632,0
8/23/1995,TA-00504,130
9/1/1995,TA-00931,700
11/1/1995,TA-00693,0
12/11/1995,TA-19410,0
12/11/1995,TA-19410,0
12/11/1995,TA-19410,0
12/11/1995,TA-19410,0
12/19/1995,TA-01281,9
1/26/1996,TA-01581,0
1/26/1996,TA-01581,0
1/26/1996,TA-01581,0
1/26/1996,TA-01581,0
1/26/1996,TA-01581,0
2/6/1996,TA-00954,10
2/7/1996,TA-00953,10
4/2/1996,TA-00187,0
5/20/1996,TA-01759,0
7/31/1996,TA-00825,30
9/18/1996,TA-01536,22
9/18/1996,TA-01536,22
9/18/1996,TA-01536,22
9/18/1996,TA-01536,22
9/18/1996,TA-01536,22
9/18/1996,TA-01536,22
9/18/1996,TA-01536,22
9/19/1996,TA-01942,50
1/15/1997,TA-01800,270
2/10/1997,TA-19786,0
2/10/1997,TA-19786,0
2/10/1997,TA-19786,0
2/10/1997,TA-19786,0
2/21/1997,TA-01994,45
6/30/1997,TA-00962,30200
7/16/1997,TA-01320,33
7/16/1997,TA-01321,21
7/16/1997,TA-01419,18
7/16/1997,TA-01420,18
7/16/1997,TA-01421,18
8/13/1997,TA-02272,12
8/18/1997,TA-01418,18
9/10/1997,TA-19279,0
9/10/1997,TA-19279,0
9/10/1997,TA-19279,0
9/10/1997,TA-19279,0
9/25/1997,TA-02552,8
10/1/1997,TA-02402,10
10/1/1997,TA-02445,0
10/1/1997,TA-02445,0
10/1/1997,TA-02445,0
10/1/1997,TA-02445,0
10/1/1997,TA-02445,0
10/20/1997,TA-01792,5
10/20/1997,TA-01794,2
10/20/1997,TA-01795,2
10/20/1997,TA-01796,2
10/20/1997,TA-01813,2
10/20/1997,TA-04732,73
10/20/1997,TA-18750,1
10/20/1997,TA-18769,1
10/20/1997,TA-18869,200
10/20/1997,TA-19085,159
10/20/1997,TA-19087,268
10/20/1997,TA-19090,154
10/20/1997,TA-19497,542
10/20/1997,TA-19505,272
10/20/1997,TA-19512,191
10/20/1997,TA-19619,43
10/20/1997,TA-19859,67
10/20/1997,TA-19898,35
10/20/1997,TA-20079,337
10/20/1997,TA-21134,46
11/20/1997,TA-02223,23
12/4/1997,TA-02667,12
12/4/1997,TA-02669,24
12/12/1997,TA-00613,0
12/12/1997,TA-00613,0
12/12/1997,TA-00613,0
1/9/1998,TA-02528,6
1/23/1998,TA-02638,50
2/25/1998,TA-00978,0
2/25/1998,TA-00978,0
2/25/1998,TA-00978,0
2/25/1998,TA-00978,0
5/8/1998,TA-02877,50
7/17/1998,TA-02318,15
7/29/1998,TA-20700,0
7/29/1998,TA-20700,0
7/29/1998,TA-20700,0
7/29/1998,TA-20700,0
7/29/1998,TA-20700,0
